Location,Property_Type,Sqft,BHK,Age,Metro_Dist,Amenities_Score,ROI_Pct,Demand_Index,Price
Vaishali Nagar,Residential Plot,2227,0,0,3.84,2,9.4,70,18320000.0
Malviya Nagar,Apartment/Flat,2377,1,1,0.71,6,5.39,44,23750000.0
Sitapura,Apartment/Flat,1347,2,11,10.55,7,6.02,79,5080000.0
Sitapura,Residential Plot,4318,0,1,7.74,2,8.67,55,15040000.0
Jagatpura,Residential Plot,1768,0,15,1.29,3,6.75,86,8890000.0
Raja Park,Apartment/Flat,2392,2,3,5.18,3,6.22,80,26390000.0
Malviya Nagar,Penthouse,4825,4,18,7.47,8,6.86,88,49840000.0
Malviya Nagar,Penthouse,3386,5,19,3.97,7,9.38,84,37430000.0
Tonk Road,Independent Villa,2614,4,3,11.21,5,6.29,96,20160000.0
Malviya Nagar,Apartment/Flat,1812,2,11,9.84,5,3.56,96,18550000.0
Civil Lines,Penthouse,4941,5,18,5.89,7,8.95,64,67610000.0
Shyam Nagar,Residential Plot,3562,0,4,3.86,1,13.01,78,27390000.0
Civil Lines,Independent Villa,2335,3,15,1.67,9,4.95,52,32710000.0
Pratap Nagar,Independent Villa,4103,5,9,6.26,9,5.54,38,22580000.0
Civil Lines,Independent Villa,3391,4,18,7.34,8,6.44,70,45250000.0
Sitapura,Penthouse,3562,4,0,10.04,8,3.83,72,13790000.0
Bapu Nagar,Builder Floor,1384,3,4,4.44,4,9.65,86,18940000.0
C-Scheme,Apartment/Flat,1835,2,9,3.42,6,8.1,89,31170000.0
Raja Park,Residential Plot,2558,0,12,11.17,1,14.21,77,26880000.0
Tonk Road,Independent Villa,4996,5,7,8.09,5,8.15,43,37530000.0
Civil Lines,Independent Villa,3660,4,2,8.33,7,8.71,87,46920000.0
Shyam Nagar,Independent Villa,4853,5,13,1.31,8,8.96,58,45350000.0
Bapu Nagar,Builder Floor,1995,2,12,4.9,6,3.78,71,25940000.0
Tonk Road,Apartment/Flat,692,1,19,5.04,7,7.35,55,4840000.0
Kalwar Road,Residential Plot,1896,0,9,10.43,1,7.95,51,5400000.0
Shyam Nagar,Independent Villa,2221,4,9,0.73,6,3.68,69,22630000.0
Pratap Nagar,Penthouse,4648,4,3,1.63,7,5.53,82,27400000.0
Ajmer Road,Apartment/Flat,2367,2,8,3.41,8,6.2,84,14520000.0
Tonk Road,Apartment/Flat,591,2,18,11.85,5,4.45,59,3400000.0
Sitapura,Independent Villa,4546,3,15,0.68,7,6.08,97,19160000.0
C-Scheme,Independent Villa,2724,4,2,8.99,5,7.49,57,43330000.0
Vaishali Nagar,Builder Floor,1084,2,11,2.71,5,9.19,56,10070000.0
Malviya Nagar,Penthouse,3657,5,13,2.67,8,5.12,87,42040000.0
Sitapura,Independent Villa,4791,3,0,10.54,6,8.62,71,17250000.0
Mansarovar,Independent Villa,1595,5,13,7.47,6,4.13,63,13520000.0
Jagatpura,Builder Floor,1181,1,18,11.03,6,8.5,44,5600000.0
Mansarovar,Apartment/Flat,1971,3,15,4.32,6,9.07,79,17320000.0
Jagatpura,Apartment/Flat,1595,2,6,7.87,5,5.88,97,9190000.0
Malviya Nagar,Apartment/Flat,819,2,5,3.74,3,6.39,51,8910000.0
Sitapura,Residential Plot,2798,0,4,6.91,2,7.65,42,8900000.0
Civil Lines,Penthouse,3126,4,4,8.5,7,4.36,75,39370000.0
Malviya Nagar,Builder Floor,2296,1,12,5.92,7,7.72,90,21750000.0
Tonk Road,Apartment/Flat,751,1,19,8.19,3,3.67,38,3540000.0
Jagatpura,Independent Villa,1670,4,10,11.42,6,6.96,66,10270000.0
Mansarovar,Residential Plot,4389,0,18,9.64,2,7.33,83,30500000.0
Jagatpura,Residential Plot,3303,0,15,10.31,3,11.79,71,15630000.0
Shyam Nagar,Builder Floor,798,3,19,10.77,8,6.29,98,7430000.0
Raja Park,Apartment/Flat,2397,2,16,2.1,5,5.59,72,26310000.0
Bapu Nagar,Penthouse,5853,4,17,3.33,10,4.3,70,79240000.0
Kalwar Road,Residential Plot,1747,0,3,9.46,3,13.81,62,6400000.0
Sitapura,Residential Plot,3372,0,18,6.54,3,11.94,94,9450000.0
Ajmer Road,Penthouse,5725,5,8,8.37,10,9.14,60,37660000.0
Sitapura,Apartment/Flat,1966,1,5,4.47,8,8.48,93,8560000.0
Raja Park,Builder Floor,2355,2,10,11.99,4,6.19,81,26850000.0
Vaishali Nagar,Apartment/Flat,1721,3,16,1.47,5,4.93,48,14390000.0
Tonk Road,Penthouse,5544,4,15,6.05,9,9.45,77,42640000.0
Malviya Nagar,Independent Villa,3318,5,12,0.21,6,8.19,85,34260000.0
Tonk Road,Independent Villa,3630,3,12,1.46,8,8.32,78,26370000.0
Civil Lines,Penthouse,5360,4,3,0.15,10,4.66,71,69440000.0
Kalwar Road,Residential Plot,1212,0,19,9.07,1,13.19,50,2100000.0
Jagatpura,Independent Villa,4853,3,17,4.55,6,3.51,45,29110000.0
Mansarovar,Builder Floor,775,2,16,8.09,4,8.79,61,5290000.0
Raja Park,Residential Plot,4222,0,18,1.45,3,8.56,36,47850000.0
Ajmer Road,Independent Villa,3523,5,11,10.64,6,5.51,87,21680000.0
Sitapura,Independent Villa,2053,5,14,4.23,9,3.75,77,11350000.0
Mansarovar,Builder Floor,1456,1,13,2.17,4,3.84,90,10310000.0
Jagatpura,Apartment/Flat,1506,2,9,1.2,6,6.0,36,8830000.0
Tonk Road,Penthouse,3134,5,0,0.66,8,4.1,65,25050000.0
Shyam Nagar,Residential Plot,1190,0,2,11.81,3,14.05,67,8970000.0
Sitapura,Residential Plot,3427,0,2,3.16,3,8.31,68,13170000.0
Malviya Nagar,Apartment/Flat,930,1,13,8.11,7,8.42,96,8610000.0
Kalwar Road,Penthouse,3551,5,3,9.54,8,3.61,45,16410000.0
Jagatpura,Builder Floor,1930,1,11,5.2,5,4.82,94,10680000.0
Bapu Nagar,Independent Villa,3262,4,6,9.33,6,9.39,90,39300000.0
Bapu Nagar,Apartment/Flat,642,1,8,7.14,8,8.8,83,7810000.0
Malviya Nagar,Residential Plot,2808,0,10,1.93,2,10.81,62,25370000.0
Civil Lines,Independent Villa,3060,3,4,2.17,9,8.4,98,46550000.0
Mansarovar,Builder Floor,1140,3,17,6.77,7,5.31,43,9110000.0
Vaishali Nagar,Residential Plot,2825,0,12,2.04,1,11.95,88,24720000.0
Raja Park,Residential Plot,2265,0,15,2.3,1,12.44,72,24320000.0
Kalwar Road,Apartment/Flat,1449,1,6,11.25,3,6.04,48,5100000.0
Raja Park,Independent Villa,3354,3,12,1.63,7,6.07,87,42050000.0
Kalwar Road,Residential Plot,3496,0,1,5.46,2,11.95,97,12830000.0
Shyam Nagar,Builder Floor,1507,1,6,4.68,4,9.05,92,12560000.0
Vaishali Nagar,Apartment/Flat,761,2,13,5.83,4,9.4,63,6540000.0
Jagatpura,Builder Floor,878,3,3,1.94,7,7.82,97,8380000.0
Shyam Nagar,Independent Villa,4826,5,14,11.07,6,9.17,84,39890000.0
Pratap Nagar,Residential Plot,1149,0,2,9.97,2,7.29,76,4640000.0
C-Scheme,Apartment/Flat,1750,3,8,3.97,6,3.62,54,26680000.0
Civil Lines,Builder Floor,1342,2,13,8.96,5,5.43,51,18390000.0
Sitapura,Residential Plot,3492,0,11,4.09,2,12.19,40,11500000.0
Raja Park,Builder Floor,1177,2,10,5.78,8,8.01,46,15220000.0
Tonk Road,Penthouse,3233,4,5,5.14,7,4.52,92,25300000.0
Malviya Nagar,Independent Villa,3172,5,17,11.01,7,7.96,82,33910000.0
Civil Lines,Apartment/Flat,514,3,0,7.06,6,9.61,99,8880000.0
Mansarovar,Residential Plot,1100,0,7,9.74,1,10.0,64,6300000.0
Ajmer Road,Penthouse,4254,5,5,8.72,7,8.13,60,28220000.0
Pratap Nagar,Independent Villa,3559,3,18,1.6,5,4.7,50,18200000.0
Sitapura,Apartment/Flat,1673,1,5,7.61,7,8.19,66,7490000.0
Mansarovar,Independent Villa,4000,3,13,8.75,9,6.21,37,31470000.0
Jagatpura,Penthouse,4140,5,16,4.63,10,5.4,68,26430000.0
Mansarovar,Apartment/Flat,1686,1,14,7.28,3,4.32,62,11840000.0
Bapu Nagar,Apartment/Flat,657,3,17,5.18,4,6.58,84,8550000.0
Mansarovar,Independent Villa,3653,5,11,9.67,6,5.88,79,30640000.0
Mansarovar,Builder Floor,839,3,3,8.89,8,8.52,39,8160000.0
Malviya Nagar,Independent Villa,3159,3,5,3.64,8,4.84,50,32180000.0
Shyam Nagar,Independent Villa,3595,5,10,1.89,6,5.68,85,33360000.0
Mansarovar,Apartment/Flat,1371,1,7,5.24,7,4.02,50,10840000.0
Malviya Nagar,Apartment/Flat,1205,2,3,4.74,5,8.57,59,12090000.0
Vaishali Nagar,Apartment/Flat,2406,1,8,8.35,6,6.87,96,20360000.0
Malviya Nagar,Apartment/Flat,873,3,0,4.86,8,7.73,90,10510000.0
Kalwar Road,Builder Floor,2497,1,10,8.64,8,5.47,77,10050000.0
Tonk Road,Penthouse,3247,4,2,1.57,10,8.32,50,25240000.0
Mansarovar,Builder Floor,2449,3,14,4.53,6,7.84,40,18970000.0
Bapu Nagar,Residential Plot,3058,0,19,7.34,1,6.63,64,37730000.0
C-Scheme,Independent Villa,1783,5,10,1.64,5,3.92,42,30930000.0
Vaishali Nagar,Penthouse,4754,4,18,3.68,10,4.62,38,40960000.0
Sitapura,Residential Plot,2977,0,8,5.49,1,11.03,57,9070000.0
Ajmer Road,Penthouse,4916,4,5,4.31,9,8.15,75,31210000.0
Raja Park,Builder Floor,1435,1,16,8.12,8,5.12,42,15070000.0
Jagatpura,Penthouse,4712,4,4,11.45,7,6.0,52,27450000.0
Vaishali Nagar,Independent Villa,2389,4,16,7.45,6,7.58,65,20160000.0
C-Scheme,Penthouse,4289,5,18,6.79,8,9.13,61,60610000.0
Ajmer Road,Builder Floor,828,1,6,2.77,4,5.05,80,5050000.0
Tonk Road,Penthouse,4422,5,1,9.75,7,7.9,43,32450000.0
Civil Lines,Builder Floor,1214,2,0,8.56,3,4.56,71,16690000.0
Ajmer Road,Independent Villa,2972,5,19,4.36,5,9.41,89,17420000.0
Shyam Nagar,Independent Villa,2269,3,8,8.84,7,9.08,85,21280000.0
Raja Park,Independent Villa,3466,5,5,1.54,7,7.57,63,43920000.0
C-Scheme,Builder Floor,1107,3,11,8.53,3,9.56,97,15290000.0
Kalwar Road,Residential Plot,1412,0,17,9.11,3,9.84,40,3480000.0
Malviya Nagar,Residential Plot,1885,0,2,1.82,3,8.13,78,20160000.0
Ajmer Road,Apartment/Flat,1463,2,15,2.57,4,6.7,51,8040000.0
Bapu Nagar,Penthouse,3243,4,4,7.11,9,7.26,67,41710000.0
Raja Park,Penthouse,3792,4,3,10.72,9,6.38,78,45480000.0
Tonk Road,Builder Floor,2226,1,16,4.82,7,6.19,96,15540000.0
Tonk Road,Residential Plot,3213,0,2,5.34,3,12.07,44,21780000.0
Malviya Nagar,Builder Floor,1413,1,13,8.15,6,6.46,70,13600000.0
Bapu Nagar,Builder Floor,1796,2,5,12.0,7,7.21,98,21880000.0
Kalwar Road,Penthouse,4419,4,11,0.39,7,5.27,98,18930000.0
Bapu Nagar,Independent Villa,3137,5,18,11.11,7,8.44,63,38750000.0
Ajmer Road,Independent Villa,1940,3,12,7.73,9,4.69,62,12110000.0
Vaishali Nagar,Independent Villa,4819,3,12,4.17,6,7.72,72,40870000.0
Shyam Nagar,Penthouse,3648,4,7,1.92,10,4.12,80,35640000.0
Ajmer Road,Independent Villa,4071,5,10,10.13,8,8.66,85,24320000.0
Vaishali Nagar,Residential Plot,4377,0,16,6.84,2,6.71,36,34600000.0
Ajmer Road,Residential Plot,4459,0,12,7.79,2,10.28,59,23050000.0
Tonk Road,Builder Floor,749,2,8,0.61,8,3.53,72,6950000.0
Pratap Nagar,Residential Plot,3786,0,3,3.22,3,10.33,74,17070000.0
Mansarovar,Builder Floor,671,2,12,2.32,8,8.24,75,6530000.0
C-Scheme,Independent Villa,2261,5,5,4.39,8,5.91,91,37620000.0
Mansarovar,Apartment/Flat,2495,3,16,8.0,3,5.01,74,17580000.0
Ajmer Road,Penthouse,4514,4,4,3.4,10,6.01,79,29020000.0
C-Scheme,Residential Plot,2165,0,12,1.84,1,10.22,77,32900000.0
Jagatpura,Residential Plot,2558,0,19,2.81,3,12.76,60,12900000.0
Mansarovar,Builder Floor,739,3,17,2.15,3,9.32,58,5760000.0
Kalwar Road,Residential Plot,2534,0,8,9.82,2,13.91,47,8420000.0
C-Scheme,Penthouse,3137,4,18,1.57,9,6.51,99,45450000.0
Tonk Road,Penthouse,3681,4,12,4.03,8,7.78,59,28030000.0
Raja Park,Builder Floor,1115,3,10,0.63,5,5.81,64,13360000.0
Mansarovar,Builder Floor,1464,3,9,11.34,4,4.46,78,10440000.0
C-Scheme,Builder Floor,2096,3,11,2.98,5,7.09,97,34040000.0
Mansarovar,Builder Floor,2259,3,4,7.48,4,6.62,45,17560000.0
Sitapura,Builder Floor,1214,3,14,0.51,7,8.91,91,5810000.0
Ajmer Road,Independent Villa,3254,5,18,2.96,7,9.64,59,21750000.0
Kalwar Road,Independent Villa,4377,4,17,4.49,9,5.11,65,17620000.0
Raja Park,Builder Floor,1585,2,19,9.58,8,9.11,39,19400000.0
Civil Lines,Residential Plot,1367,0,15,8.52,2,13.52,81,16710000.0
Pratap Nagar,Residential Plot,3759,0,7,7.45,3,8.48,86,16680000.0
Shyam Nagar,Apartment/Flat,1768,3,5,9.36,5,8.96,73,15480000.0
C-Scheme,Residential Plot,4292,0,13,11.53,2,6.98,50,60220000.0
Raja Park,Independent Villa,3429,5,19,5.76,6,6.85,89,36960000.0
Sitapura,Apartment/Flat,1093,2,18,5.47,8,8.2,93,4100000.0
Sitapura,Builder Floor,659,2,6,1.29,8,4.95,55,4550000.0
Malviya Nagar,Apartment/Flat,1505,2,19,4.05,7,6.31,81,16660000.0
Jagatpura,Penthouse,3169,5,6,10.28,10,9.65,49,19720000.0
Raja Park,Penthouse,4881,5,15,5.1,8,6.07,35,56330000.0
Kalwar Road,Builder Floor,961,1,2,7.02,5,9.44,66,4450000.0
Jagatpura,Penthouse,4049,5,11,9.96,7,7.09,97,23790000.0
C-Scheme,Penthouse,5927,4,16,3.51,7,8.3,67,89890000.0
Civil Lines,Residential Plot,1769,0,12,5.65,3,11.03,94,20760000.0
C-Scheme,Penthouse,3453,5,7,1.06,7,4.25,67,57020000.0
Sitapura,Independent Villa,4753,3,13,9.92,9,4.99,80,18420000.0
Ajmer Road,Penthouse,5439,4,0,0.91,8,5.3,98,34960000.0
Jagatpura,Builder Floor,1286,3,5,11.73,7,5.65,42,8670000.0
Raja Park,Independent Villa,3727,5,17,10.13,5,6.33,83,39990000.0
Mansarovar,Independent Villa,4528,5,14,11.27,9,6.17,63,34500000.0
Shyam Nagar,Residential Plot,1791,0,13,0.91,2,8.15,36,15420000.0
Malviya Nagar,Apartment/Flat,1589,3,12,10.36,6,7.87,69,15820000.0
Tonk Road,Penthouse,4969,4,15,4.6,10,7.82,61,36350000.0
C-Scheme,Apartment/Flat,1169,2,0,7.15,7,4.26,86,19630000.0
Tonk Road,Independent Villa,2771,3,15,6.03,5,9.59,52,18580000.0
Malviya Nagar,Apartment/Flat,1846,1,18,6.29,7,8.03,97,18040000.0
Vaishali Nagar,Builder Floor,1867,3,17,2.11,8,5.86,66,17430000.0
Sitapura,Apartment/Flat,629,2,15,10.28,7,4.83,57,2410000.0
Malviya Nagar,Residential Plot,3734,0,2,3.95,1,6.64,53,33410000.0
Malviya Nagar,Builder Floor,554,3,9,8.15,6,8.53,66,6970000.0
Ajmer Road,Builder Floor,1001,3,15,2.19,6,4.28,73,7060000.0
Malviya Nagar,Residential Plot,1233,0,10,10.55,1,12.13,53,10220000.0
Ajmer Road,Independent Villa,3963,5,5,11.75,9,6.65,83,23850000.0
C-Scheme,Builder Floor,1821,1,16,8.88,8,4.52,73,26490000.0
Kalwar Road,Independent Villa,1685,3,14,1.32,7,5.5,71,8730000.0
Pratap Nagar,Builder Floor,842,1,0,9.09,5,5.38,39,4730000.0
Jagatpura,Builder Floor,1591,2,16,8.36,4,5.17,75,8190000.0
Kalwar Road,Builder Floor,1149,1,11,3.99,4,7.68,46,4580000.0
Shyam Nagar,Penthouse,4719,5,9,8.88,7,9.47,35,43370000.0
Malviya Nagar,Penthouse,3433,4,14,2.28,9,5.05,86,34370000.0
Raja Park,Penthouse,3459,5,0,3.43,10,7.79,80,45100000.0
Mansarovar,Residential Plot,909,0,4,7.89,3,8.54,79,5670000.0
Shyam Nagar,Builder Floor,1797,3,1,1.42,8,7.31,88,19680000.0
Raja Park,Apartment/Flat,1895,3,12,2.83,6,8.11,87,19930000.0
Vaishali Nagar,Independent Villa,2428,4,10,7.93,9,7.88,84,21520000.0
Civil Lines,Independent Villa,4953,5,16,4.73,7,6.74,73,64380000.0
Raja Park,Apartment/Flat,2270,3,16,2.91,3,5.03,71,29520000.0
Raja Park,Builder Floor,1030,2,9,7.23,3,9.04,80,11950000.0
Mansarovar,Builder Floor,1499,2,9,1.38,6,3.67,50,12570000.0
C-Scheme,Builder Floor,2099,2,12,4.18,7,8.5,85,33050000.0
Ajmer Road,Residential Plot,3346,0,17,5.92,3,9.44,81,16750000.0
Malviya Nagar,Residential Plot,2692,0,5,2.0,3,12.47,86,29360000.0
Raja Park,Residential Plot,3012,0,0,2.64,1,14.05,68,34410000.0
Civil Lines,Residential Plot,1147,0,6,4.62,2,11.6,52,14490000.0
Raja Park,Penthouse,5281,5,3,8.21,8,4.65,44,60700000.0
Ajmer Road,Builder Floor,1278,2,2,7.82,7,7.3,66,8340000.0
Ajmer Road,Builder Floor,889,3,9,0.94,7,3.75,45,6980000.0
Raja Park,Residential Plot,2214,0,16,11.55,3,7.69,74,24780000.0
Mansarovar,Penthouse,5921,4,13,10.08,9,7.41,52,45100000.0
Pratap Nagar,Independent Villa,1687,4,10,7.58,6,7.82,84,9510000.0
Shyam Nagar,Independent Villa,1879,3,16,2.19,7,9.24,74,15620000.0
Mansarovar,Residential Plot,4411,0,13,6.05,2,11.74,74,30370000.0
Pratap Nagar,Independent Villa,4255,4,14,9.51,6,5.22,47,20930000.0
C-Scheme,Penthouse,5316,5,14,4.79,7,7.51,58,87240000.0
Shyam Nagar,Builder Floor,1617,1,16,2.13,6,5.03,69,13860000.0
Mansarovar,Builder Floor,1103,2,1,7.72,4,8.74,41,8990000.0
Sitapura,Penthouse,5771,5,3,3.61,10,7.94,48,22530000.0
Vaishali Nagar,Residential Plot,2492,0,16,9.82,1,7.44,74,18640000.0
Tonk Road,Independent Villa,4653,5,7,0.93,8,9.78,60,35700000.0
Vaishali Nagar,Independent Villa,2290,3,17,8.74,9,3.5,74,21130000.0
Tonk Road,Builder Floor,677,1,1,11.3,6,7.24,51,5200000.0
Jagatpura,Apartment/Flat,1554,2,18,3.62,6,8.36,94,8590000.0
Raja Park,Penthouse,5911,5,8,8.94,10,5.18,46,66300000.0
Sitapura,Builder Floor,2191,3,8,0.27,3,9.19,87,8860000.0
Pratap Nagar,Independent Villa,3278,3,15,7.65,5,7.91,56,16980000.0
Sitapura,Residential Plot,2154,0,6,2.61,2,14.13,85,6930000.0
Bapu Nagar,Independent Villa,3853,4,5,6.14,7,8.61,63,54790000.0
Ajmer Road,Residential Plot,1705,0,8,7.64,3,13.4,73,8270000.0
Ajmer Road,Independent Villa,4751,4,5,9.8,7,8.43,77,27840000.0
Civil Lines,Apartment/Flat,651,2,2,6.89,4,9.64,99,10770000.0
Vaishali Nagar,Independent Villa,2632,5,13,0.31,6,5.17,36,25870000.0
Ajmer Road,Penthouse,4221,4,6,1.21,8,5.84,97,25100000.0
Malviya Nagar,Builder Floor,1117,1,7,4.01,8,5.68,95,11220000.0
Tonk Road,Penthouse,4658,4,9,5.58,7,4.67,98,33190000.0
Pratap Nagar,Apartment/Flat,1672,2,16,11.15,3,5.48,39,6820000.0
Vaishali Nagar,Apartment/Flat,805,2,18,8.09,7,9.77,76,6530000.0
Mansarovar,Apartment/Flat,585,1,8,5.71,7,7.33,85,4650000.0
C-Scheme,Independent Villa,2707,3,9,8.98,6,9.08,55,43380000.0
Civil Lines,Apartment/Flat,1909,3,0,11.38,4,8.25,66,27250000.0
Civil Lines,Penthouse,3388,4,4,11.76,7,9.4,54,41680000.0
Tonk Road,Independent Villa,2125,5,2,6.86,8,6.65,48,17940000.0
Shyam Nagar,Independent Villa,3319,3,12,4.48,7,4.88,68,29140000.0
Ajmer Road,Builder Floor,2496,1,11,1.26,8,5.37,95,16140000.0
Malviya Nagar,Residential Plot,2651,0,4,7.73,1,10.73,59,24360000.0
Raja Park,Penthouse,4720,4,6,5.59,10,6.66,35,60450000.0
Kalwar Road,Penthouse,4468,5,5,6.17,8,6.17,51,20670000.0
Ajmer Road,Independent Villa,2289,4,1,10.72,9,6.18,49,15590000.0
Bapu Nagar,Penthouse,5023,4,16,10.4,10,7.78,82,61640000.0
Mansarovar,Apartment/Flat,1647,3,11,4.64,8,6.13,61,13510000.0
Sitapura,Builder Floor,1809,3,6,4.25,3,8.23,94,7910000.0
Bapu Nagar,Builder Floor,2183,3,16,6.17,5,8.1,94,26280000.0
Mansarovar,Residential Plot,2432,0,3,1.72,3,9.5,64,19710000.0
Malviya Nagar,Residential Plot,1498,0,10,2.31,3,9.23,74,13420000.0
Mansarovar,Builder Floor,787,2,5,4.74,4,8.32,98,6540000.0
Malviya Nagar,Builder Floor,1281,3,17,2.0,7,7.52,42,13340000.0
Civil Lines,Apartment/Flat,2377,1,4,11.41,6,9.0,77,32410000.0
Jagatpura,Residential Plot,1483,0,7,9.32,2,14.46,67,7120000.0
Kalwar Road,Independent Villa,4183,5,13,6.88,8,5.96,47,19900000.0
Tonk Road,Residential Plot,1854,0,15,2.24,2,7.7,39,12130000.0
Civil Lines,Independent Villa,4752,4,18,3.49,5,9.71,48,70560000.0
Vaishali Nagar,Apartment/Flat,787,3,15,2.47,5,5.61,66,7890000.0
C-Scheme,Penthouse,3162,5,10,2.67,10,5.62,92,58330000.0
Pratap Nagar,Apartment/Flat,821,3,14,4.78,8,6.09,44,5550000.0
Kalwar Road,Independent Villa,3287,4,19,6.5,5,7.6,51,12580000.0
Civil Lines,Apartment/Flat,596,2,13,1.53,5,5.65,74,7860000.0
Shyam Nagar,Residential Plot,3041,0,9,1.81,2,11.01,84,24730000.0
Pratap Nagar,Apartment/Flat,932,2,2,10.07,5,5.4,48,5350000.0
Ajmer Road,Apartment/Flat,516,2,12,5.82,7,9.14,91,3940000.0
Pratap Nagar,Builder Floor,751,3,15,8.23,7,6.67,90,4420000.0
Shyam Nagar,Builder Floor,548,1,18,11.54,3,8.75,38,2900000.0
C-Scheme,Penthouse,5676,5,15,0.53,10,9.43,84,94450000.0
Malviya Nagar,Apartment/Flat,2382,2,0,9.9,4,5.22,95,23420000.0
Pratap Nagar,Builder Floor,2446,2,11,5.07,4,8.08,77,11820000.0
Tonk Road,Builder Floor,950,3,4,4.23,5,5.24,78,7750000.0
Civil Lines,Builder Floor,1269,2,16,5.02,6,5.43,53,15600000.0
Vaishali Nagar,Penthouse,3384,5,3,10.28,9,4.87,50,31410000.0
Tonk Road,Apartment/Flat,2414,3,14,0.86,8,9.56,48,17420000.0
Bapu Nagar,Apartment/Flat,2317,1,16,7.66,8,6.13,77,27480000.0
Pratap Nagar,Penthouse,5743,4,19,10.18,7,6.01,91,29600000.0
Civil Lines,Residential Plot,2985,0,8,0.79,2,13.05,80,38970000.0
C-Scheme,Builder Floor,1378,3,5,10.32,3,3.71,76,21750000.0
Vaishali Nagar,Apartment/Flat,1798,3,6,11.85,5,8.71,56,14900000.0
Vaishali Nagar,Residential Plot,2640,0,11,5.05,3,11.37,59,19300000.0
Pratap Nagar,Residential Plot,1604,0,0,5.29,3,13.33,50,8380000.0
Sitapura,Builder Floor,734,3,11,10.08,6,7.37,45,3330000.0
Jagatpura,Penthouse,4051,5,4,0.19,8,6.34,90,24890000.0
Malviya Nagar,Residential Plot,2617,0,5,1.94,1,8.91,58,25710000.0
Ajmer Road,Builder Floor,1001,2,10,9.82,5,4.37,44,5560000.0
Civil Lines,Apartment/Flat,1529,1,15,3.44,7,7.84,57,20990000.0
Jagatpura,Residential Plot,1227,0,6,6.15,2,8.69,64,6100000.0
C-Scheme,Builder Floor,2164,3,0,8.89,6,5.06,65,33830000.0
Sitapura,Residential Plot,4163,0,2,9.51,2,9.62,93,14760000.0
Sitapura,Builder Floor,629,1,2,9.55,3,5.8,56,2070000.0
Raja Park,Apartment/Flat,2278,1,1,1.23,7,5.08,67,25760000.0
Raja Park,Builder Floor,1519,1,7,0.76,7,8.15,80,17980000.0
C-Scheme,Residential Plot,2831,0,12,2.39,2,8.96,37,42210000.0
Mansarovar,Builder Floor,1041,2,0,8.86,3,4.07,37,7780000.0
Kalwar Road,Builder Floor,1440,3,19,4.87,3,8.47,73,5820000.0
Tonk Road,Independent Villa,2920,3,1,11.27,6,3.94,59,21850000.0
Tonk Road,Apartment/Flat,1993,3,1,0.38,6,6.14,58,16620000.0
Bapu Nagar,Penthouse,5821,4,18,0.21,9,6.27,59,76650000.0
Malviya Nagar,Residential Plot,1206,0,19,10.53,1,14.03,51,8680000.0
C-Scheme,Apartment/Flat,1820,3,8,4.78,7,7.0,48,30280000.0
Vaishali Nagar,Residential Plot,1551,0,1,3.97,3,11.93,92,13120000.0
Malviya Nagar,Independent Villa,4847,3,16,0.47,6,7.28,82,53200000.0
Jagatpura,Builder Floor,2425,2,0,7.65,5,4.98,60,14500000.0
Bapu Nagar,Apartment/Flat,896,1,11,7.46,8,6.31,60,11420000.0
Malviya Nagar,Apartment/Flat,751,2,12,4.31,3,7.51,71,7520000.0
Raja Park,Independent Villa,2746,5,15,3.1,5,3.96,63,32090000.0
Pratap Nagar,Residential Plot,1200,0,4,7.62,3,13.06,79,4970000.0
Raja Park,Residential Plot,2252,0,15,7.75,1,6.72,45,23330000.0
Malviya Nagar,Apartment/Flat,594,3,2,1.07,4,7.58,50,7850000.0
Ajmer Road,Independent Villa,4259,3,18,5.26,5,4.13,76,24460000.0
Kalwar Road,Penthouse,5241,5,10,6.49,10,9.44,44,23660000.0
Raja Park,Independent Villa,2062,3,13,10.74,8,6.39,40,25300000.0
Vaishali Nagar,Apartment/Flat,1933,3,0,11.52,8,7.82,40,16910000.0
Kalwar Road,Residential Plot,2144,0,2,11.76,2,8.32,86,7230000.0
Sitapura,Penthouse,4725,5,3,11.93,10,7.95,65,20050000.0
Civil Lines,Independent Villa,2583,4,19,10.88,7,8.13,81,35240000.0
Sitapura,Apartment/Flat,865,3,6,1.56,7,7.33,53,5620000.0
Civil Lines,Apartment/Flat,1910,3,1,6.99,6,5.38,64,27870000.0
Kalwar Road,Apartment/Flat,874,3,18,11.74,6,6.97,93,3210000.0
Tonk Road,Apartment/Flat,1268,2,6,3.78,5,4.91,67,9130000.0
Civil Lines,Builder Floor,2156,3,15,4.57,5,7.9,52,31560000.0
C-Scheme,Apartment/Flat,1818,3,13,0.24,4,9.68,58,28320000.0
Shyam Nagar,Builder Floor,1250,1,7,8.01,5,5.97,66,10870000.0
C-Scheme,Residential Plot,3687,0,14,7.19,3,10.06,96,56420000.0
Sitapura,Builder Floor,2249,2,5,2.72,8,5.56,87,10550000.0
Tonk Road,Penthouse,5159,5,2,0.49,7,5.66,41,36090000.0
Kalwar Road,Penthouse,4364,4,4,10.17,9,9.68,79,19720000.0
Tonk Road,Builder Floor,2371,1,6,8.55,6,5.8,89,15910000.0
Pratap Nagar,Residential Plot,4463,0,1,8.13,2,13.71,35,19910000.0
C-Scheme,Builder Floor,1700,1,0,10.56,4,6.06,57,25090000.0
